full.tax.name
Gaertnera rotundifolia
Gaertnera 
Ixora borboniae
Ixora nitens
Ixora parviflora
Ixora vaughanii
Mussaenda arcuata
Oldenlandia sieberi
Psychotria borbonica
Psychotria moratii
Psychotria terniflora
Pyrostria cordifolia
Pyrostria fasciculata
Pyrostria ferruginea
Pyrostria macrophylla
Pyrostria viburnoides
Spermacoce flagelliformis
Ruppia maritima
Melicope chapelieri
Melicope obtusifolia
Toddalia asiatica
Vepris lanceolata
Zanthoxylum heterophyllum
Casearia coriacea
Casearia mauritiana
Casearia tinifolia
Homalium integrifolium
Homalium paniculatum
Ludia mauritiana
Scolopia heterophylla
Korthalsella japonica
Korthalsella taenoides
Viscum triflorum
Allophylus borbonicus
Allophylus commersonii
Cossinia pinnata
Dodonaea viscosa
Doratoxylon apetalum
Hornea mauritiana
Molinea alterniflora
Molinea laevis
Molinea macrantha
Stadmania oppositifolia
Labourdonnaisia calophylloides
Labourdonnaisia glauca
Labourdonnaisia revoluta
Mimusops erythroxylon
Mimusops maxima
Mimusops petiolaris
Sideroxylon boutonianum
Sideroxylon cinereum
Sideroxylon grandiflorum
Sideroxylon puberulum
Sideroxylon sessiliflorum
Myoporum mauritianum
Smilax anceps
Lycium mascarenense
Nuxia verticillata
Suriana maritima
Tacca artocarpifolia
Thypha dominguensis
Tristichia trifaria
Elatostema fagifolium
Obetia ficifolia
Pilea articulata
Pilea atroviridis
Pilea boehmerioides
Pilea cataractae
Pilea cocottei
Pilea cuneiformis
Pilea laevicaulis
Pilea lucens
Pilea pollicaris
Pilea repanda
Pilea thouarsiana
Pilea trilobata
Pilea verbascifolia
Pouzolzia laevigata
Procris pedunculata
Urera acuminata
Viola inconspicua
Cissus anulata
Cissus mauritiana
Cissus quadrangularis
Cissus rotundifolia
Cyphostemma mappia
Leea guineensis
Xyris 
Afromomum angustifolium
