id	taxonID	acceptedNameUsageID	scientificName	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	specificEpithet	full.tax.name	taxonRank	scientificNameAuthorship	vernacularName	taxonomicStatus	taxonRemarks	language
MUS_100	MUS_100		Cassine orientalis (Jacq.) Kuntze			Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Cassine	orientalis	Cassine orientalis	species	(Jacq.) Kuntze		accepted		
MUS_101	MUS_101		Gymnosporia pyria (Willemet ) Jordaan			Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Gymnosporia	pyria	Gymnosporia pyria	species	(Willemet ) Jordaan		accepted		
MUS_102	MUS_102		Pleurostylia leucocarpa Baker			Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Pleurostylia	leucocarpa	Pleurostylia leucocarpa	species	Baker		accepted		
MUS_103	MUS_103		Grangeria borbonica Lam.			Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Grangeria	borbonica	Grangeria borbonica	species	Lam.		accepted		
MUS_104	MUS_104		Terminalia bentzoë (L.) L.f.			Plantae	Tracheophyta	Magnoliopsida	Myrtales	Combretaceae	Terminalia	bentzoë	Terminalia bentzoë	species	(L.) L.f.		accepted		
MUS_105	MUS_105		Agelaea pentagyna (Lam.) Baillon			Plantae	Tracheophyta	Magnoliopsida	Oxalidales	Connaraceae	Agelaea	pentagyna	Agelaea pentagyna	species	(Lam.) Baillon		accepted		
MUS_106	MUS_106		Cnestis glabra Lam.			Plantae	Tracheophyta	Magnoliopsida	Oxidales	Connaraceae	Cnestis	glabra	Cnestis glabra	species	Lam.		accepted		
MUS_107	MUS_107		Decalobanthus peltatus (L.) A.R. Simões & Staples			Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Decalobanthus	peltatus	Decalobanthus peltatus	species	(L.) A.R. Simões & Staples		accepted		
MUS_108	MUS_108		Dichondra repens J.R. Forst. & G. Forst.			Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Dichondra	repens	Dichondra repens	species	J.R. Forst. & G. Forst.		accepted		
MUS_109	MUS_109		Ipomoea pes-caprae (L.) R.Br.			Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Ipomoea	pes-caprae	Ipomoea pes-caprae	species	(L.) R.Br.		accepted		
MUS_110	MUS_110		Ipomoea violacea L.			Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Ipomoea	violacea	Ipomoea violacea	species	L.		accepted		
MUS_111	MUS_111		Stictocardia tiiliiolia (Desr.) Hallier f.			Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Stictocardia	tiiliiolia	Stictocardia tiiliiolia	species	(Desr.) Hallier f.		accepted		
MUS_112	MUS_112		Weinmannia mauritiana D. Don			Plantae	Tracheophyta	Magnoliopsida	Oxidales	Cunoniaceae	Weinmannia	mauritiana	Weinmannia mauritiana	species	D. Don		accepted		
MUS_113	MUS_113		Weinmannia tinctoria Sm.			Plantae	Tracheophyta	Magnoliopsida	Oxidales	Cunoniaceae	Weinmannia	tinctoria	Weinmannia tinctoria	species	Sm.		accepted		
MUS_114	MUS_114		Halodule uninervis (Forssk.) Aschers.			Plantae	Tracheophyta	Liliopsida	Alismatales	Cymodoceaceae	Halodule	uninervis	Halodule uninervis	species	(Forssk.) Aschers.		accepted		
MUS_115	MUS_115		Halodule wrightii Aschers.			Plantae	Tracheophyta	Liliopsida	Alismatales	Cymodoceaceae	Halodule	wrightii	Halodule wrightii	species	Aschers.		accepted		
MUS_116	MUS_116		Syringodium isoetifolium (Asch.) Dandy			Plantae	Tracheophyta	Liliopsida	Alismatales	Cymodoceaceae	Syringodium	isoetifolium	Syringodium isoetifolium	species	(Asch.) Dandy		accepted		
MUS_117	MUS_117		Thallassodendron cilliatum (Forssk.) der Hartog			Plantae	Tracheophyta	Liliopsida	Alismatales	Cymodeaceae	Thallassodendron	cilliatum	Thallassodendron cilliatum	species	(Forssk.) der Hartog		accepted		
MUS_118	MUS_118		Bulbostylis barbata (Rottb.) C.B. Clarke			Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Bulbostylis	barbata	Bulbostylis barbata	species	(Rottb.) C.B. Clarke		accepted		
MUS_119	MUS_119		Carex borbonica Lam.			Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	borbonica	Carex borbonica	species	Lam.		accepted		
MUS_120	MUS_120		Carex boryana Schkuhr			Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	boryana	Carex boryana	species	Schkuhr		accepted		
MUS_121	MUS_121		Carex brunnea Thunb.			Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	brunnea	Carex brunnea	species	Thunb.		accepted		
MUS_122	MUS_122		Carex ramosa Willd.			Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	ramosa	Carex ramosa	species	Willd.		accepted		
MUS_123	MUS_123		Carex wahlenbergiana Boott			Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	wahlenbergiana	Carex wahlenbergiana	species	Boott		accepted		
MUS_124	MUS_124		Carpha  nitens (Kunth) Kuk.			Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carpha	nitens	Carpha nitens	species	(Kunth) Kuk.		accepted		
MUS_125	MUS_125		Cladium mariscus (L.) Pohl			Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Cladium	mariscus	Cladium mariscus	species	(L.) Pohl		accepted		
MUS_126	MUS_126		Costularia melicoides (Poiret) C. B. Clarke			Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Costularia	melicoides	Costularia melicoides	species	(Poiret) C. B. Clarke		accepted		
MUS_127	MUS_127		Cyperus aromaticus (Ridl.) Mattf. & Kük.			Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Cyperus	aromaticus	Cyperus aromaticus	species	(Ridl.) Mattf. & Kük.		accepted		
MUS_128	MUS_128		Cyperus alterniflorus L.			Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Cyperus	alterniflorus	Cyperus alterniflorus	species	L.		accepted		
MUS_129	MUS_129		Cyperus articulatus L.			Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Cyperus	articulatus	Cyperus articulatus	species	L.		accepted		
MUS_130	MUS_130		Cyperus brevifolius (Rottb.) Hassk.			Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Cyperus	brevifolius	Cyperus brevifolius	species	(Rottb.) Hassk.		accepted		
